date,timestamp,totalValue,portfolioCount,portfolioId,portfolioName,portfolioValue,entryCount,entryId,symbol,type,shares,currentPrice,change,valueTWD,targetPct
2026-04-20,2026-04-20T15:35:06.335Z,3599101.27,2,,,,,,,,,,,,
,,,,1771739140545,國泰,2145641.84,5,,,,,,,,
,,,,,,,,1771739073757,00631L,TW,35244,25.99,0.03849114703617402,915991.56,32
,,,,,,,,1771739088789,SHLD,US,97,72.95500183105469,-0.5385114777713795,222864.22,14
,,,,,,,,1771739103427,QLD,US,148,75.84989929199219,-1.1470099152975584,353533.26,20
,,,,,,,,1771739115751,UFO,US,159,54.56999969482422,-0.2194190988769043,273252.8,14
,,,,,,,,1771739139088,TWD CASH,cash,380000,1,0,380000,20
,,,,1771743053489,第一金,1453459.4300000002,4,,,,,,,,
,,,,,,,,1771742957222,00713,TW,9000,54.2,1.1194029850746294,487800,37
,,,,,,,,1771742979259,00910,TW,3000,71.25,4.702424687729615,213750,13
,,,,,,,,1771743023570,00631L,TW,26057,25.99,0.03849114703617402,677221.43,45
,,,,,,,,1771743050550,00994A,TW,4800,15.56,2.5032938076416387,74688,5
