date,timestamp,totalValue,portfolioCount,portfolioId,portfolioName,portfolioValue,entryCount,entryId,symbol,type,shares,currentPrice,change,valueTWD,targetPct
2026-04-21,2026-04-21T06:21:42.836Z,3648292.0447473144,2,,,,,,,,,,,,
,,,,1771739140545,國泰,2176903.96,5,,,,,,,,
,,,,,,,,1771739073757,00631L,TW,35244,26.850000381469727,3.3089664542890653,946301.41,32
,,,,,,,,1771739088789,SHLD,US,97,72.98999786376953,-0.49080045839190606,222692.93,14
,,,,,,,,1771739103427,QLD,US,148,76.2699966430664,-0.5995091319348335,355047.76,20
,,,,,,,,1771739115751,UFO,US,159,54.560001373291016,-0.23770090822633408,272861.86,14
,,,,,,,,1771739139088,TWD CASH,cash,380000,1,0,380000,20
,,,,1776748461808,第一金,1471388.0847473145,3,,,,,,,,
,,,,,,,,1776748398466,00713,TW,9000,53.900001525878906,-0.553502719780621,485100.01373291016,0
,,,,,,,,1776748410776,00910,TW,3000,70.9000015258789,-0.4912259285910088,212700.00457763672,0
,,,,,,,,1776748460202,00631L,TW,28876,26.790000915527344,3.0781104868308784,773588.0664367676,0
