date,timestamp,totalValue,portfolioCount,portfolioId,portfolioName,portfolioValue,entryCount,entryId,symbol,type,shares,currentPrice,change,valueTWD,targetPct
2026-04-23,2026-04-22T19:35:19.345Z,3663601.38,2,,,,,,,,,,,,
,,,,1771739140545,國泰,2182328.08,5,,,,,,,,
,,,,,,,,1771739073757,00631L,TW,35244,27.06999969482422,0.7068441027686747,954055.07,32
,,,,,,,,1771739088789,SHLD,US,97,69.9749984741211,-0.7306022497927382,213785.48,14
,,,,,,,,1771739103427,QLD,US,148,77.97000122070312,3.039515291004524,363456.83,20
,,,,,,,,1771739115751,UFO,US,159,54.119998931884766,0.9701472609790377,271030.7,14
,,,,,,,,1771739139088,TWD CASH,cash,380000,1,0,380000,20
,,,,1776748461808,第一金,1481273.3,3,,,,,,,,
,,,,,,,,1776748398466,00713,TW,9000,54.099998474121094,0.18518235948350695,486899.99,0
,,,,,,,,1776748410776,00910,TW,3000,70.9000015258789,-0.14084292129731513,212700,0
,,,,,,,,1776748460202,00631L,TW,28876,27.06999969482422,0.7068441027686747,781673.31,0
