date,timestamp,totalValue,portfolioCount,portfolioId,portfolioName,portfolioValue,entryCount,entryId,symbol,type,shares,currentPrice,change,valueTWD,targetPct
2026-04-22,2026-04-22T15:57:09.283Z,3639066.4299999997,2,,,,,,,,,,,,
,,,,1771739140545,國泰,2163879.55,5,,,,,,,,
,,,,,,,,1771739073757,00631L,TW,35244,26.88,3.4243939976914226,947358.72,32
,,,,,,,,1771739088789,SHLD,US,97,70.48999786376953,-3.4251296564330236,215358.89,14
,,,,,,,,1771739103427,QLD,US,148,75.66999816894531,-0.7866813046475463,352735.38,20
,,,,,,,,1771739115751,UFO,US,159,53.599998474121094,-1.7595335884877357,268426.56,14
,,,,,,,,1771739139088,TWD CASH,cash,380000,1,0,380000,20
,,,,1776748461808,第一金,1475186.88,3,,,,,,,,
,,,,,,,,1776748398466,00713,TW,9000,54,-0.3690036900369056,486000,0
,,,,,,,,1776748410776,00910,TW,3000,71,-0.3508771929824561,213000,0
,,,,,,,,1776748460202,00631L,TW,28876,26.88,3.4243939976914226,776186.88,0
